id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
11,2024-02-01 14:31:22.082471,1,2024-07-21 07:00:46.437177,1,0,喵次元,t4/spiders,t4/spiders/喵次元.py,True,11,.py,,1,1,1,0,True
12,2024-02-01 14:31:22.085792,1,2024-07-21 07:00:46.445319,1,0,新浪资源,t4/spiders,t4/spiders/新浪资源.py,True,12,.py,,1,1,1,0,True
13,2024-02-01 14:31:22.089587,1,2024-07-21 07:00:46.449095,1,0,樱花动漫,t4/spiders,t4/spiders/樱花动漫.json,True,9999,.json,,1,0,0,0,True
320,2024-05-25 15:45:01.740150,1,2024-07-21 07:00:46.581214,1,0,iFun,t4/files/drpy_js,t4/files/drpy_js/iFun.js,True,314,.js,,1,1,1,0,True
285,2024-05-16 08:22:11.907660,1,2024-07-21 07:00:46.974882,1,0,孜然影视,t4/files/drpy_js,t4/files/drpy_js/孜然影视.js,True,279,.js,,1,1,0,0,True
287,2024-05-16 08:22:12.153112,1,2024-07-21 07:00:47.050026,1,0,快看影视,t4/files/drpy_js,t4/files/drpy_js/快看影视.js,True,281,.js,,1,1,0,0,True
267,2024-05-15 06:21:15.245255,1,2024-07-21 07:00:47.053733,1,0,思古影视[V2],t4/files/drpy_js,t4/files/drpy_js/思古影视[V2].js,True,261,.js,,1,1,1,0,True
344,2024-05-30 18:55:04.441384,1,2024-07-21 07:00:47.140238,1,0,易搜[搜],t4/files/drpy_js,t4/files/drpy_js/易搜[搜].js,True,338,.js,,1,1,0,0,True
283,2024-05-16 08:22:11.800032,1,2024-07-21 07:00:47.153693,1,0,星云影视,t4/files/drpy_js,t4/files/drpy_js/星云影视.js,True,277,.js,,1,1,0,0,True
332,2024-05-28 03:41:22.842135,1,2024-07-21 07:00:47.316534,1,0,爱看hd,t4/files/drpy_js,t4/files/drpy_js/爱看hd.js,True,326,.js,,1,1,0,0,True
354,2024-06-05 15:25:08.439074,1,2024-07-21 07:00:47.378952,1,0,番茄小说[书],t4/files/drpy_js,t4/files/drpy_js/番茄小说[书].js,True,348,.js,,1,1,1,0,True
319,2024-05-25 15:45:01.602023,1,2024-07-21 07:00:47.414653,1,0,看客影院,t4/files/drpy_js,t4/files/drpy_js/看客影院.js,True,313,.js,,1,1,0,0,True
279,2024-05-16 08:22:11.695928,1,2024-07-21 07:00:47.426519,1,0,看看影视,t4/files/drpy_js,t4/files/drpy_js/看看影视.js,True,273,.js,,1,1,0,0,True
362,2024-06-08 01:52:31.762835,1,2024-07-21 07:00:47.790446,1,0,黑料不打烊-z,t4/files/drpy_js,t4/files/drpy_js/黑料不打烊-z.js,True,356,.js,,1,1,1,0,True
318,2024-05-25 15:45:01.302243,1,2024-07-21 07:00:47.800045,1,0,黑木耳资源[资],t4/files/drpy_js,t4/files/drpy_js/黑木耳资源[资].js,True,312,.js,,1,1,0,1,True
25,2024-02-01 14:31:22.131846,1,2024-07-21 07:00:47.807414,1,0,alist,t4/files/drpy_libs,t4/files/drpy_libs/alist.js,True,25,.js,,1,0,0,0,True
27,2024-02-01 14:31:22.138315,1,2024-07-21 07:00:47.815884,1,0,atob,t4/files/drpy_libs,t4/files/drpy_libs/atob.js,True,27,.js,,1,0,0,0,True
28,2024-02-01 14:31:22.141613,1,2024-07-21 07:00:47.819497,1,0,base64,t4/files/drpy_libs,t4/files/drpy_libs/base64.js,True,28,.js,,1,0,0,0,True
29,2024-02-01 14:31:22.144645,1,2024-07-21 07:00:47.823781,1,0,cheerio.min,t4/files/drpy_libs,t4/files/drpy_libs/cheerio.min.js,True,29,.js,,1,0,0,0,True
30,2024-02-01 14:31:22.147509,1,2024-07-21 07:00:47.828761,1,0,crypto-hiker,t4/files/drpy_libs,t4/files/drpy_libs/crypto-hiker.js,True,30,.js,,1,0,0,0,True
31,2024-02-01 14:31:22.150591,1,2024-07-21 07:00:47.832698,1,0,crypto-js,t4/files/drpy_libs,t4/files/drpy_libs/crypto-js.js,True,31,.js,,1,0,0,0,True
33,2024-02-01 14:31:22.158067,1,2024-07-21 07:00:47.836449,1,0,drpy2,t4/files/drpy_libs,t4/files/drpy_libs/drpy2.js,True,33,.js,,1,0,0,0,True
34,2024-02-01 14:31:22.161255,1,2024-07-21 07:00:47.840372,1,0,drpy2.min,t4/files/drpy_libs,t4/files/drpy_libs/drpy2.min.js,True,34,.js,,1,0,0,0,True
35,2024-02-01 14:31:22.164177,1,2024-07-21 07:00:47.849160,1,0,drT,t4/files/drpy_libs,t4/files/drpy_libs/drT.js,True,35,.js,,1,0,0,0,True
36,2024-02-01 14:31:22.167772,1,2024-07-21 07:00:47.852876,1,0,es6py,t4/files/drpy_libs,t4/files/drpy_libs/es6py.js,True,36,.js,,1,0,0,0,True
37,2024-02-01 14:31:22.171107,1,2024-07-21 07:00:47.856727,1,0,exRegExp,t4/files/drpy_libs,t4/files/drpy_libs/exRegExp.js,True,37,.js,,1,0,0,0,True
38,2024-02-01 14:31:22.174162,1,2024-07-21 07:00:47.861554,1,0,gbk,t4/files/drpy_libs,t4/files/drpy_libs/gbk.js,True,38,.js,,1,0,0,0,True
39,2024-02-01 14:31:22.177056,1,2024-07-21 07:00:47.892983,1,0,live2cms,t4/files/drpy_libs,t4/files/drpy_libs/live2cms.js,True,39,.js,,1,0,0,0,True
40,2024-02-01 14:31:22.179776,1,2024-07-21 07:00:47.897236,1,0,mod,t4/files/drpy_libs,t4/files/drpy_libs/mod.js,True,40,.js,,1,0,0,0,True
64,2024-02-05 09:48:57.436728,1,2024-07-21 07:00:47.913883,1,0,qjs_env,t4/files/drpy_libs,t4/files/drpy_libs/qjs_env.js,True,64,.js,,1,0,0,0,True
41,2024-02-01 14:31:22.183051,1,2024-07-21 07:00:47.917760,1,0,rsa,t4/files/drpy_libs,t4/files/drpy_libs/rsa.js,True,41,.js,,1,0,0,0,True
42,2024-02-01 14:31:22.187826,1,2024-07-21 07:00:47.921995,1,0,searchFilter,t4/files/drpy_libs,t4/files/drpy_libs/searchFilter.js,True,42,.js,,1,0,0,0,True
43,2024-02-01 14:31:22.191456,1,2024-07-21 07:00:47.926501,1,0,sortName,t4/files/drpy_libs,t4/files/drpy_libs/sortName.js,True,43,.js,,1,0,0,0,True
44,2024-02-01 14:31:22.194524,1,2024-07-21 07:00:47.939298,1,0,模板,t4/files/drpy_libs,t4/files/drpy_libs/模板.js,True,44,.js,,1,0,0,0,True
45,2024-02-01 14:31:22.197684,1,2024-07-21 07:00:47.956661,1,0,alist,t4/files/json,t4/files/json/alist.json,True,45,.json,,1,0,0,0,True
49,2024-02-01 14:31:22.214129,1,2024-07-21 07:00:48.103143,1,0,douyu,t4/files/txt,t4/files/txt/douyu.txt,True,49,.txt,,1,0,0,0,True
50,2024-02-01 14:31:22.217894,1,2024-07-21 07:00:48.107409,1,0,huya,t4/files/txt,t4/files/txt/huya.txt,True,50,.txt,,1,0,0,0,True
76,2024-02-20 16:25:29.526731,1,2024-07-21 07:00:48.125163,1,0,tv,t4/files/txt,t4/files/txt/tv.txt,True,70,.txt,,1,0,0,0,True
62,2024-02-04 14:21:09.849102,1,2024-07-21 07:00:48.133651,1,0,zb,t4/files/txt,t4/files/txt/zb.txt,True,62,.txt,,1,0,0,0,True
80,2024-03-08 15:53:21.072166,1,2024-07-21 07:00:48.199155,1,0,drpy3,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.js,True,74,.js,,1,0,0,0,True
92,2024-03-10 11:22:54.436023,1,2024-07-21 07:00:48.254690,1,0,banan,t4/files/drpy3_js,t4/files/drpy3_js/banan.js,True,86,.js,,1,0,0,0,True
54,2024-02-02 15:59:25.736026,1,2024-07-21 07:08:44.361760,4,0,在线之家,t4/files/drpy_js,t4/files/drpy_js/在线之家.js,True,54,.js,,1,1,1,0,True
4,2024-02-01 14:31:22.053370,1,2024-07-21 07:00:46.397800,1,0,base_spider,t4/spiders,t4/spiders/base_spider.py,True,0,.py,,1,1,1,0,False
6,2024-02-01 14:31:22.061431,1,2024-07-21 07:00:46.405578,1,0,cntv央视,t4/spiders,t4/spiders/cntv央视.py,True,0,.py,{{host}}/files/hipy/cntv央视.json,1,1,1,0,True
7,2024-02-01 14:31:22.066253,1,2024-07-21 07:00:46.417563,1,0,test_1,t4/spiders,t4/spiders/test_1.txt,True,9999,.txt,,1,0,0,0,True
8,2024-02-01 14:31:22.069500,1,2024-07-21 07:00:46.421415,1,0,两个BT,t4/spiders,t4/spiders/两个BT.json,True,9999,.json,,1,0,0,0,True
9,2024-02-01 14:31:22.073461,1,2024-07-21 07:00:46.425423,1,0,两个BT,t4/spiders,t4/spiders/两个BT.py,True,9,.py,{{host}}/files/hipy/两个BT.json,1,1,1,0,True
381,2024-06-09 18:53:00.718922,1,2024-07-21 07:00:47.747322,1,0,飞翔鸟[书],t4/files/drpy_js,t4/files/drpy_js/飞翔鸟[书].js,True,375,.js,,1,1,1,0,True
60,2024-02-04 14:21:09.834304,1,2024-07-21 07:00:47.969542,1,0,E8plus,t4/files/json,t4/files/json/E8plus.json,True,60,.json,,1,0,0,0,True
46,2024-02-01 14:31:22.201442,1,2024-07-21 07:00:48.090040,1,0,bili,t4/files/txt,t4/files/txt/bili.txt,True,46,.txt,,1,0,0,0,True
47,2024-02-01 14:31:22.206951,1,2024-07-21 07:00:48.094441,1,0,config,t4/files/txt,t4/files/txt/config.txt,True,47,.txt,,1,0,0,0,True
48,2024-02-01 14:31:22.210714,1,2024-07-21 07:00:48.098659,1,0,custom,t4/files/txt,t4/files/txt/custom.conf,True,48,.conf,,1,0,0,0,True
77,2024-03-08 15:53:20.983010,1,2024-07-21 07:00:48.111879,1,0,mytv,t4/files/txt,t4/files/txt/mytv.txt,True,71,.txt,,1,0,0,0,True
65,2024-02-05 09:48:57.517131,1,2024-07-21 07:00:48.137486,1,0,custom_jsapi,t4/files/jar,t4/files/jar/custom_jsapi.jar,True,65,.jar,,1,0,0,0,True
66,2024-02-05 09:48:57.524729,1,2024-07-21 07:00:48.142165,1,0,custom_spider_dz1201,t4/files/jar,t4/files/jar/custom_spider_dz1201.jar,True,66,.jar,,1,0,0,0,True
67,2024-02-05 09:56:10.488387,1,2024-07-21 07:00:48.160241,1,0,哔哩,t4/files/js_parse_api,t4/files/js_parse_api/哔哩.js,True,67,.js,,1,0,0,0,True
131,2024-03-29 09:09:21.210231,1,2024-07-21 07:00:48.168408,1,0,杰森,t4/files/js_parse_api,t4/files/js_parse_api/杰森.js,True,125,.js,,1,0,0,0,True
78,2024-03-08 15:53:21.065726,1,2024-07-21 07:00:48.185312,1,0,cheerio.min,t4/files/drpy3_libs,t4/files/drpy3_libs/cheerio.min.js,True,72,.js,,1,0,0,0,True
79,2024-03-08 15:53:21.070369,1,2024-07-21 07:00:48.189257,1,0,crypto-js,t4/files/drpy3_libs,t4/files/drpy3_libs/crypto-js.js,True,73,.js,,1,0,0,0,True
125,2024-03-19 11:00:53.115130,1,2024-07-21 07:00:48.194414,1,0,drpy3.hiker,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.hiker.js,True,119,.js,,1,0,0,0,True
82,2024-03-08 15:53:21.077160,1,2024-07-21 07:00:48.203103,1,0,gbk,t4/files/drpy3_libs,t4/files/drpy3_libs/gbk.js,True,76,.js,,1,0,0,0,True
83,2024-03-08 15:53:21.079211,1,2024-07-21 07:00:48.219731,1,0,模板,t4/files/drpy3_libs,t4/files/drpy3_libs/模板.js,True,77,.js,,1,0,0,0,True
85,2024-03-10 11:22:54.396452,1,2024-07-21 07:00:48.223479,1,0,1080P,t4/files/drpy3_js,t4/files/drpy3_js/1080P.js,True,79,.js,,1,0,0,0,True
86,2024-03-10 11:22:54.404715,1,2024-07-21 07:00:48.227933,1,0,18av,t4/files/drpy3_js,t4/files/drpy3_js/18av.js,True,80,.js,,1,0,0,0,True
87,2024-03-10 11:22:54.410304,1,2024-07-21 07:00:48.231679,1,0,369影视,t4/files/drpy3_js,t4/files/drpy3_js/369影视.js,True,81,.js,,1,0,0,0,True
88,2024-03-10 11:22:54.415189,1,2024-07-21 07:00:48.235582,1,0,4khdr,t4/files/drpy3_js,t4/files/drpy3_js/4khdr.js,True,82,.js,,1,0,0,0,True
89,2024-03-10 11:22:54.420127,1,2024-07-21 07:00:48.239179,1,0,97tvs,t4/files/drpy3_js,t4/files/drpy3_js/97tvs.js,True,83,.js,,1,0,0,0,True
90,2024-03-10 11:22:54.425029,1,2024-07-21 07:00:48.247258,1,0,aipanso,t4/files/drpy3_js,t4/files/drpy3_js/aipanso.js,True,84,.js,,1,0,0,0,True
91,2024-03-10 11:22:54.431043,1,2024-07-21 07:00:48.251060,1,0,alist,t4/files/drpy3_js,t4/files/drpy3_js/alist.json,True,85,.json,,1,0,0,0,True
93,2024-03-10 11:22:54.441055,1,2024-07-21 07:00:48.258687,1,0,cilixiong,t4/files/drpy3_js,t4/files/drpy3_js/cilixiong.js,True,87,.js,,1,0,0,0,True
95,2024-03-10 11:22:54.451334,1,2024-07-21 07:00:48.267958,1,0,ddys_d,t4/files/drpy3_js,t4/files/drpy3_js/ddys_d.js,True,89,.js,,1,0,0,0,True
96,2024-03-10 11:22:54.456638,1,2024-07-21 07:00:48.271957,1,0,dydhhy,t4/files/drpy3_js,t4/files/drpy3_js/dydhhy.js,True,90,.js,,1,0,0,0,True
97,2024-03-10 11:22:54.461295,1,2024-07-21 07:00:48.275967,1,0,dygang,t4/files/drpy3_js,t4/files/drpy3_js/dygang.js,True,91,.js,,1,0,0,0,True
98,2024-03-10 11:22:54.466196,1,2024-07-21 07:00:48.279793,1,0,funletu,t4/files/drpy3_js,t4/files/drpy3_js/funletu.js,True,92,.js,,1,0,0,0,True
99,2024-03-10 11:22:54.471919,1,2024-07-21 07:00:48.287118,1,0,huya,t4/files/drpy3_js,t4/files/drpy3_js/huya.js,True,93,.js,,1,0,0,0,True
100,2024-03-10 11:22:54.476378,1,2024-07-21 07:00:48.290774,1,0,jianpian,t4/files/drpy3_js,t4/files/drpy3_js/jianpian.js,True,94,.js,,1,0,0,0,True
101,2024-03-10 11:22:54.481020,1,2024-07-21 07:00:48.295335,1,0,jiyingw,t4/files/drpy3_js,t4/files/drpy3_js/jiyingw.js,True,95,.js,,1,0,0,0,True
102,2024-03-10 11:22:54.485559,1,2024-07-21 07:00:48.299683,1,0,jiyingwp,t4/files/drpy3_js,t4/files/drpy3_js/jiyingwp.js,True,96,.js,,1,0,0,0,True
103,2024-03-10 11:22:54.489716,1,2024-07-21 07:00:48.303587,1,0,kkpans,t4/files/drpy3_js,t4/files/drpy3_js/kkpans.js,True,97,.js,,1,0,0,0,True
104,2024-03-10 11:22:54.494281,1,2024-07-21 07:00:48.307654,1,0,kuba,t4/files/drpy3_js,t4/files/drpy3_js/kuba.js,True,98,.js,,1,0,0,0,True
105,2024-03-10 11:22:54.499477,1,2024-07-21 07:00:48.312386,1,0,lf_live,t4/files/drpy3_js,t4/files/drpy3_js/lf_live.txt,True,99,.txt,,1,0,0,0,True
106,2024-03-10 11:22:54.504301,1,2024-07-21 07:00:48.316264,1,0,lf_live1,t4/files/drpy3_js,t4/files/drpy3_js/lf_live1.txt,True,100,.txt,,1,0,0,0,True
114,2024-03-10 11:22:54.541045,1,2024-07-21 07:00:48.350578,1,0,rrdyw,t4/files/drpy3_js,t4/files/drpy3_js/rrdyw.js,True,108,.js,,1,0,0,0,True
116,2024-03-10 11:22:54.551052,1,2024-07-21 07:00:48.354377,1,0,tzfile,t4/files/drpy3_js,t4/files/drpy3_js/tzfile.js,True,110,.js,,1,0,0,0,True
118,2024-03-10 11:22:54.561607,1,2024-07-21 07:00:48.363280,1,0,xzys,t4/files/drpy3_js,t4/files/drpy3_js/xzys.js,True,112,.js,,1,0,0,0,True
119,2024-03-10 11:22:54.566374,1,2024-07-21 07:00:48.367057,1,0,yyets,t4/files/drpy3_js,t4/files/drpy3_js/yyets.js,True,113,.js,,1,0,0,0,True
120,2024-03-10 11:22:54.570699,1,2024-07-21 07:00:48.371235,1,0,yyetsp,t4/files/drpy3_js,t4/files/drpy3_js/yyetsp.js,True,114,.js,,1,0,0,0,True
121,2024-03-10 11:22:54.575765,1,2024-07-21 07:00:48.376131,1,0,养端,t4/files/drpy3_js,t4/files/drpy3_js/养端.js,True,115,.js,,1,0,0,0,True
122,2024-03-10 11:22:54.581446,1,2024-07-21 07:00:48.401902,1,0,吸瓜,t4/files/drpy3_js,t4/files/drpy3_js/吸瓜.js,True,116,.js,,1,0,0,0,True
135,2024-05-06 13:28:59.334848,1,2024-07-21 07:00:46.429661,1,0,厂长资源,t4/spiders,t4/spiders/厂长资源.py,True,129,.py,,1,1,1,0,True
441,2024-06-17 16:35:37.502432,1,2024-07-21 07:00:46.532782,1,0,88看球[球],t4/files/drpy_js,t4/files/drpy_js/88看球[球].js,True,435,.js,,1,0,0,0,True
330,2024-05-27 10:10:44.903811,1,2024-07-21 07:00:47.325712,1,0,爱看农民[优],t4/files/drpy_js,t4/files/drpy_js/爱看农民[优].js,True,324,.js,,1,1,1,1,True
282,2024-05-16 08:22:11.775273,1,2024-07-21 07:00:47.591805,1,0,蓝光影视,t4/files/drpy_js,t4/files/drpy_js/蓝光影视.js,True,276,.js,,1,1,0,0,True
284,2024-05-16 08:22:11.811528,1,2024-07-21 07:00:47.625444,1,0,西屋影视,t4/files/drpy_js,t4/files/drpy_js/西屋影视.js,True,278,.js,,1,1,0,0,True
457,2024-06-17 16:35:38.014082,1,2024-07-21 07:00:46.597712,1,0,MuteFun[漫],t4/files/drpy_js,t4/files/drpy_js/MuteFun[漫].js,True,451,.js,,1,1,0,0,True
395,2024-06-12 10:09:51.875734,1,2024-07-21 07:00:46.812910,1,0,千百视频[密],t4/files/drpy_js,t4/files/drpy_js/千百视频[密].js,True,389,.js,,1,1,1,0,True
127,2024-03-29 09:09:21.022291,1,2024-07-21 07:00:46.836108,1,0,厂长资源,t4/files/drpy_js,t4/files/drpy_js/厂长资源.js,True,121,.js,,1,1,0,0,True
155,2024-05-06 13:28:59.628363,1,2024-07-21 07:00:46.925547,1,0,大米星球,t4/files/drpy_js,t4/files/drpy_js/大米星球.js,True,149,.js,,1,1,1,0,True
429,2024-06-17 16:35:36.919229,1,2024-07-21 07:00:46.961342,1,0,好趣网[播],t4/files/drpy_js,t4/files/drpy_js/好趣网[播].js,True,423,.js,,1,1,0,0,True
389,2024-06-11 10:05:03.445614,1,2024-07-21 07:00:46.970245,1,0,子子影视,t4/files/drpy_js,t4/files/drpy_js/子子影视.js,True,383,.js,,1,1,0,0,True
446,2024-06-17 16:35:37.585434,1,2024-07-21 07:00:47.108638,1,0,斗鱼直播[官],t4/files/drpy_js,t4/files/drpy_js/斗鱼直播[官].js,True,440,.js,,1,1,1,0,True
288,2024-05-16 08:22:12.282205,1,2024-07-21 07:00:47.158421,1,0,星空影院,t4/files/drpy_js,t4/files/drpy_js/星空影院.js,True,282,.js,,1,1,0,0,True
439,2024-06-17 16:35:37.289358,1,2024-07-21 07:00:47.236231,1,0,樱花动漫[漫],t4/files/drpy_js,t4/files/drpy_js/樱花动漫[漫].js,True,433,.js,,1,1,0,0,True
430,2024-06-17 16:35:36.951309,1,2024-07-21 07:00:47.277191,1,0,漫小肆[画],t4/files/drpy_js,t4/files/drpy_js/漫小肆[画].js,True,424,.js,,1,1,0,0,True
388,2024-06-11 10:05:03.303369,1,2024-07-21 07:00:47.294387,1,0,热片网,t4/files/drpy_js,t4/files/drpy_js/热片网.js,True,382,.js,,1,1,1,0,True
322,2024-05-25 15:45:01.962292,1,2024-07-21 07:00:47.370024,1,0,电影天堂,t4/files/drpy_js,t4/files/drpy_js/电影天堂.js,True,316,.js,,1,1,0,0,True
153,2024-05-06 13:28:59.614970,1,2024-07-21 07:00:47.383340,1,0,白嫖者联盟,t4/files/drpy_js,t4/files/drpy_js/白嫖者联盟.js,True,147,.js,,1,1,0,0,True
433,2024-06-17 16:35:37.007061,1,2024-07-21 07:00:47.475086,1,0,第一韩漫[画],t4/files/drpy_js,t4/files/drpy_js/第一韩漫[画].js,True,427,.js,,1,1,0,0,True
440,2024-06-17 16:35:37.397274,1,2024-07-21 07:00:47.496870,1,0,维奇动漫[漫],t4/files/drpy_js,t4/files/drpy_js/维奇动漫[漫].js,True,434,.js,,1,1,1,1,True
333,2024-05-28 10:11:14.082974,1,2024-07-21 07:00:47.541838,1,0,胖虎影视,t4/files/drpy_js,t4/files/drpy_js/胖虎影视.js,True,327,.js,,1,1,1,1,True
270,2024-05-15 06:21:15.433748,1,2024-07-21 07:00:47.608878,1,0,蛋蛋剧,t4/files/drpy_js,t4/files/drpy_js/蛋蛋剧.js,True,264,.js,,1,1,0,0,True
271,2024-05-15 06:21:15.452280,1,2024-07-21 07:00:47.613512,1,0,蛋蛋赞,t4/files/drpy_js,t4/files/drpy_js/蛋蛋赞.js,True,265,.js,,1,1,1,0,True
432,2024-06-17 16:35:36.983571,1,2024-07-21 07:00:47.786492,1,0,麻雀视频[优],t4/files/drpy_js,t4/files/drpy_js/麻雀视频[优].js,True,426,.js,,1,1,1,0,True
59,2024-02-04 14:21:09.832085,1,2024-07-21 07:00:47.961490,1,0,bili,t4/files/json,t4/files/json/bili.json,True,59,.json,,1,0,0,0,True
75,2024-02-19 18:15:01.925873,1,2024-07-21 07:00:47.965551,1,0,drpy_rules,t4/files/json,t4/files/json/drpy_rules.json,True,69,.json,,1,0,0,0,True
186,2024-05-06 13:29:00.117259,1,2024-07-21 07:00:47.999531,1,0,moli,t4/files/json,t4/files/json/moli.json,True,180,.json,,1,0,0,0,True
188,2024-05-06 13:29:00.130646,1,2024-07-21 07:00:48.036003,1,0,wgcf,t4/files/json,t4/files/json/wgcf.json,True,182,.json,,1,0,0,0,True
51,2024-02-01 14:31:22.221119,1,2024-07-21 07:00:48.129732,1,0,vip_parse,t4/files/txt,t4/files/txt/vip_parse.conf,True,51,.conf,,1,0,0,0,True
191,2024-05-06 13:29:00.223270,1,2024-07-21 07:00:48.146565,1,0,pg,t4/files/jar,t4/files/jar/pg.jar,True,185,.jar,,1,0,0,0,True
129,2024-03-29 09:09:21.199069,1,2024-07-21 07:00:48.154919,1,0,CK,t4/files/js_parse_api,t4/files/js_parse_api/CK.js,True,123,.js,,1,0,0,0,True
130,2024-03-29 09:09:21.206493,1,2024-07-21 07:00:48.164312,1,0,夜幕,t4/files/js_parse_api,t4/files/js_parse_api/夜幕.js,True,124,.js,,1,0,0,0,True
